Birth Rate,CO2 Emissions,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
0.038,7.1204443723924875,3.7135578697211664,94.87567567567568,11.254644782971518,20.98073620272593,0.06,3.2188758248682006,5.713958861886928,0.07325046173959267,0.0,0.22793206804600694,61.0,58.0,0.0,1,0.428,0.54,0.032,14.811756362902935,0.492,22.320493557319537,22.27707153912607
0.017,7.926602599181384,3.7135578697211664,94.87567567567568,11.254644782971518,22.24552415438848,0.037,4.990432586778736,5.713958861886928,0.01587334915629015,0.1,0.1889660995126232,75.0,68.0,0.2,1,0.258,0.681,0.061,13.986833517999623,0.427,20.411291073291707,19.12871654193217
0.022,10.431347268857898,3.7135578697211664,94.87567567567568,9.233959237574817,24.33474061683561,0.042,4.007333185232471,5.713958861886928,0.04210117601863539,0.0,0.12486898204586927,70.0,67.0,0.1,1,0.341,0.613,0.047,17.172760371140516,0.533,21.547441280351357,20.042047229228025
0.044,7.2078598714324755,3.7135578697211664,94.87567567567568,8.878218658092228,22.18422480626943,0.062,2.772588722239781,5.713958861886928,0.10795714150509228,0.0,0.173953307123438,49.0,46.0,0.0,1,0.438,0.53,0.032,16.721078434435523,0.291,18.119575664681957,18.619531610894253
0.032,7.404887575616125,3.7135578697211664,94.87567567567568,6.88653164253051,22.08645674863076,0.061,4.844187086458591,5.713958861886928,0.04783732941416013,0.0,0.14236724128692196,57.0,53.0,0.0,1,0.405,0.562,0.033,14.456287021820378,0.324,19.078200752050506,18.26985786584569
0.053,6.680854678790215,3.7135578697211664,94.87567567567568,11.254644782971518,21.31014905719862,0.064,2.3978952727983707,5.713958861886928,0.09621885774054292,0.0,0.13811071861565868,51.0,51.0,0.0,1,0.479,0.495,0.025,16.21247958374647,0.162,16.951004817371683,17.281246492014
0.043,11.279516908298021,3.7135578697211664,94.87567567567568,11.414176378900056,24.560263440883517,0.046,2.8903717578961645,5.713958861886928,0.10705907229340778,0.0,0.19309662996191307,47.0,46.0,0.0,1,0.435,0.537,0.028,18.62669219940495,0.348,19.04125723705382,20.228969516770974
0.041,6.532334292222349,3.7135578697211664,94.87567567567568,11.254644782971518,21.274237624926794,0.042,2.302585092994046,5.713958861886928,0.10255658832509207,0.0,0.15700374880966475,49.0,47.0,0.0,1,0.466,0.505,0.03,15.943215696629945,0.149,17.11134746100564,17.370858648025116
0.036,3.8918202981106265,3.7135578697211664,94.87567567567568,11.254644782971518,18.155533588834196,0.089,3.8501476017100584,5.713958861886928,0.05638033343610764,0.0,0.3343270802748248,65.0,62.0,0.5781237682301931,1,0.44,0.52,0.04,11.845310790105684,0.534,16.108045416114916,14.603968372873895
0.04,8.278682162970906,3.7135578697211664,94.87567567567568,7.782807262839695,22.26647952515016,0.046,3.1354942159291497,5.713958861886928,0.06672363204290818,0.0,0.13811071861565868,59.0,56.0,0.0,1,0.451,0.517,0.032,16.10416709746041,0.403,18.839391085389497,18.643824303266577
0.019,6.338594078203183,3.7135578697211664,94.87567567567568,11.254644782971518,20.23693438657084,0.048,5.918893854273146,5.713958861886928,0.011928570865273802,0.1,0.10165365372649983,71.15926791277259,66.46183800623054,0.3,1,0.282,0.637,0.081,11.303832736878679,0.501,19.23161096461314,17.599700214609808
0.044,6.054439346269371,3.7135578697211664,94.87567567567568,11.254644782971518,20.270510993187752,0.184,3.367295829986474,5.713958861886928,0.13190507087993858,0.0,0.23348984336835407,39.0,37.0,0.0,1,0.43,0.546,0.025,15.236147889986709,0.356,16.118095750958314,17.370858648025116
0.049,6.249975242259483,3.7135578697211664,94.87567567567568,11.254644782971518,26.29866191722371,0.06416951983298538,6.687603594123967,5.713958861886928,0.09984533496971613,0.0,0.13811071861565868,52.0,49.0,0.0,1,0.472,0.499,0.029,15.815017938162557,0.332,22.320493557319537,22.27707153912607
0.024,12.817499879303782,3.7135578697211664,94.87567567567568,11.601531403304254,25.61269454290501,0.083,5.5093883366279774,5.713958861886928,0.050693114315518116,0.1,0.13540463700620295,58.0,54.0,0.2,1,0.33,0.636,0.034,17.599700214609808,0.569,21.928637662485635,21.710574056428424
0.043,11.865749759016373,3.7135578697211664,94.87567567567568,11.254644782971518,26.29866191722371,0.06416951983298538,6.687603594123967,5.713958861886928,0.10436001532424277,0.23974713551955748,0.13811071861565868,50.0,48.0,0.5781237682301931,1,0.447,0.523,0.03,15.710576184099509,0.165,22.320493557319537,22.27707153912607
0.04,8.618846845142738,3.7135578697211664,94.87567567567568,9.498597279178806,23.229387446611398,0.034,2.772588722239781,5.713958861886928,0.06672363204290818,0.0,0.13811071861565868,60.0,56.0,0.0,1,0.437,0.533,0.03,17.138018169098327,0.325,15.424948670398354,17.822843761378564
0.033,7.080867896690782,3.7135578697211664,94.87567567567568,11.254644782971518,21.14492586979648,0.053,4.330733340286331,5.713958861886928,0.07696104113612832,0.0,0.1310282624064041,49.0,48.0,0.0,1,0.446,0.524,0.029,13.877278995961733,0.227,16.993564429978885,17.281246492014
0.042,7.883069351305753,3.7135578697211664,94.87567567567568,9.502338118495565,23.04425907284605,0.034,2.3978952727983707,5.713958861886928,0.07696104113612832,0.0,0.19556678354397528,51.0,49.0,0.0,1,0.448,0.523,0.029,17.342474224183377,0.223,19.758309935715648,19.72630720471483
0.039,7.213768308118642,3.7135578697211664,94.87567567567568,7.655390644826152,20.98119743086042,0.053,2.70805020110221,5.713958861886928,0.07417939817425151,0.0,0.13811071861565868,54.0,53.0,0.0,1,0.442,0.529,0.029,15.3975267070617,0.329,16.213405921671733,16.52356082573315
0.017,9.899680314193175,3.7135578697211664,94.87567567567568,8.896588071791218,23.790070965195053,0.054,4.820281565605037,5.713958861886928,0.02566774674857779,0.0,0.13811071861565868,75.0,71.0,0.0,1,0.298,0.641,0.06,16.073464431376948,0.634,21.40484638164071,19.552082858669273
0.048,7.335633981927201,3.7135578697211664,94.87567567567568,11.254644782971518,22.54672528258861,0.066,2.833213344056216,5.713958861886928,0.08525984395082342,0.0,0.20620083058389777,48.0,48.0,0.0,1,0.493,0.481,0.027,17.00498401875384,0.121,18.92145603792546,22.27707153912607
